creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,predicted_churn,decision,churn
543,California,Male,43,9,0.0,2,1,1,78858.07,0.8045384501499997,high_risk,yes
831,Massachusetts,Female,44,10,0.0,1,0,1,47729.33,0.7943183382484256,high_risk,yes
752,Hawaii,Female,41,8,0.0,2,1,0,139844.04,0.0162514886135467,low_risk,no
595,Florida,Female,23,10,101126.66,2,0,0,37042.8,0.7881325989325313,high_risk,yes
725,California,Male,35,7,75915.75,1,1,0,150507.43,0.8252342090949113,high_risk,yes
594,Hawaii,Female,31,9,0.0,1,0,1,5719.11,0.9746499899083934,high_risk,yes
614,Hawaii,Female,27,9,106414.57,2,0,0,77500.81,0.7836653925560124,high_risk,yes
798,New York,Female,39,6,119787.76,1,1,1,164248.33,0.936742057434938,high_risk,yes
850,California,Male,47,6,0.0,1,1,0,187391.02,0.1917782854763304,low_risk,no
547,California,Male,62,10,127738.75,2,1,1,85153.0,0.945491625497596,high_risk,yes
681,California,Female,58,8,93173.88,1,1,1,139761.25,0.8457600052419069,high_risk,yes
756,Hawaii,Male,67,4,0.0,3,1,1,93081.87,0.9692194304261198,high_risk,yes
677,New York,Female,44,4,148770.61,2,1,1,191057.76,0.9618593672516236,high_risk,yes
645,New York,Female,41,2,138881.04,1,1,0,129936.53,0.0495795293202292,low_risk,no
577,Florida,Male,29,2,0.0,1,1,1,168924.41,0.8348105573065092,high_risk,yes
617,Florida,Nonbinary,45,1,0.0,1,1,0,143298.06,0.7572466045684416,high_risk,yes
597,Hawaii,Female,28,0,142705.95,1,1,0,127233.39,0.9163437951009484,high_risk,yes
711,California,Female,25,5,190066.54,1,0,0,51345.39,0.0199302912408162,low_risk,no
637,California,Male,41,2,0.0,2,0,1,102515.42,0.9405077981243104,high_risk,yes
749,Massachusetts,Female,28,3,0.0,1,1,0,3408.7,0.8993710365411716,high_risk,yes
770,Florida,Male,30,8,0.0,2,0,1,50839.85,0.8946122628351594,high_risk,yes
623,Florida,Female,40,4,0.0,3,1,0,31669.18,0.7589305319640045,high_risk,yes
607,Texas,Nonbinary,37,4,135927.06,1,0,0,180890.4,0.7930093267778493,high_risk,yes
589,Hawaii,Female,31,10,110635.32,1,1,0,148218.86,0.93722097017586,high_risk,yes
452,Hawaii,Female,33,6,131698.57,2,1,0,151623.91,0.7826329648058404,high_risk,yes
798,Hawaii,Male,37,8,0.0,3,0,0,110783.28,0.9593250960093292,high_risk,yes
616,Texas,Female,43,7,95984.21,1,0,1,115262.54,0.1249761378892871,low_risk,no
586,Texas,Female,47,5,157099.47,2,1,1,65481.86,0.9451688283913264,high_risk,yes
632,Florida,Male,47,3,0.0,2,1,0,178822.32,0.8809868816691554,high_risk,yes
653,Texas,Male,31,2,154741.45,2,0,0,25183.01,0.9210804210080696,high_risk,yes
604,Florida,Male,27,9,101352.78,1,0,0,30252.3,0.7747124409049548,high_risk,yes
718,California,Male,52,8,79475.3,3,1,1,32421.32,0.2356640725408208,low_risk,no
618,California,Female,42,2,0.0,4,0,0,111097.39,0.1706325234212546,low_risk,no
663,California,Female,33,2,0.0,2,1,0,153295.0,0.9264626939807163,high_risk,yes
638,Texas,Male,25,4,148045.45,2,1,1,114722.42,0.9297436123989048,high_risk,yes
565,Texas,Female,32,4,90322.99,2,0,1,118740.37,0.7991692199987883,high_risk,yes
542,California,Female,31,3,0.0,2,1,1,115217.59,0.7588743285486382,high_risk,yes
737,New York,Male,43,8,96353.8,1,0,0,10209.8,0.9972001137732234,high_risk,yes
611,California,Male,38,4,71018.6,2,1,0,2444.29,0.9034483473456636,high_risk,yes
620,Massachusetts,Male,29,9,0.0,2,1,0,13133.88,0.8452825273448066,high_risk,yes
584,California,Female,41,3,0.0,2,1,1,160095.48,0.7844824176517498,high_risk,yes
568,Florida,Female,36,10,153610.61,1,1,1,54083.8,0.2186776278131925,low_risk,no
577,California,Female,32,1,0.0,2,1,0,9902.39,0.8348666381095153,high_risk,yes
646,New York,Male,39,6,121681.91,2,0,1,61793.47,0.904728235730638,high_risk,yes
687,Florida,Female,50,5,0.0,2,1,0,110230.4,0.9192183858656194,high_risk,yes
673,Massachusetts,Male,40,1,121629.22,1,1,1,3258.6,0.8566658399215924,high_risk,yes
583,Massachusetts,Male,47,5,102562.23,1,1,0,92708.1,0.8737113665184103,high_risk,yes
567,Hawaii,Female,35,5,166118.45,2,1,0,127827.18,0.765782698893775,high_risk,yes
425,Florida,Female,22,7,169649.73,2,0,1,136365.0,0.0802117399875886,low_risk,no
477,New York,Female,58,8,145984.92,1,1,1,24564.7,0.9292687052414504,high_risk,yes
536,California,Male,32,7,178011.5,2,1,0,22375.14,0.9426877645383988,high_risk,yes
756,California,Female,42,9,0.0,2,1,0,35673.42,0.9170713400080968,high_risk,yes
519,California,Female,22,8,0.0,1,0,1,167553.06,0.7666970468306835,high_risk,yes
695,California,Female,42,7,121453.63,1,0,0,46374.64,0.9005821089619915,high_risk,yes
715,California,Male,34,4,124314.45,1,0,0,97782.92,0.9868401266920018,high_risk,yes
602,New York,Male,38,2,71667.97,2,0,0,137111.89,0.8662704107229975,high_risk,yes
687,Hawaii,Female,47,7,0.0,2,1,1,177624.01,0.7743243291580277,high_risk,yes
583,California,Male,59,7,127450.14,1,0,1,67552.71,0.8131163141647864,high_risk,yes
640,Hawaii,Female,47,6,89799.46,2,0,1,13783.77,0.1618128273347021,low_risk,no
490,Massachusetts,Male,31,3,145260.23,1,0,1,114066.77,0.8053258046913728,high_risk,yes
469,California,Female,48,5,0.0,1,1,0,160529.71,0.1839011335856725,low_risk,no
682,California,Female,46,2,0.0,1,1,1,114442.66,0.8470164766011893,high_risk,yes
627,Massachusetts,Female,25,4,0.0,1,1,1,194313.93,0.8701650608889979,high_risk,yes
502,California,Male,33,8,0.0,2,1,1,123509.01,0.8886476790811128,high_risk,yes
658,California,Female,39,4,0.0,1,1,1,147530.06,0.7760362348976982,high_risk,yes
573,Florida,Female,44,4,0.0,1,1,1,94862.93,0.960126930981954,high_risk,yes
701,Texas,Male,23,5,186101.18,2,1,1,76611.33,0.7695665022540635,high_risk,yes
638,Hawaii,Female,32,0,0.0,2,1,0,160129.99,0.8515682709466043,high_risk,yes
651,Massachusetts,Female,63,8,129968.67,1,1,1,11830.53,0.9395971434738604,high_risk,yes
560,Hawaii,Female,30,0,108883.29,1,1,0,27914.95,0.9176437033786068,high_risk,yes
749,Massachusetts,Male,36,7,0.0,2,0,0,80134.65,0.8640588179120827,high_risk,yes
624,Massachusetts,Female,34,6,0.0,1,1,0,582.59,0.0929203184384703,low_risk,no
747,California,Male,49,6,202904.64,1,1,1,17298.72,0.019782448625038,low_risk,no
496,New York,Female,59,7,91680.1,2,1,0,163141.18,0.1012561972322288,low_risk,no
850,California,Female,71,4,0.0,2,1,1,107236.87,0.7664226058611524,high_risk,yes
675,Massachusetts,Female,35,8,155621.08,1,0,1,35177.31,0.7768726343989092,high_risk,yes
598,California,Female,40,9,0.0,1,1,0,68462.59,0.0911707833409212,low_risk,no
781,California,Female,28,4,0.0,2,1,0,177703.15,0.8683816522533792,high_risk,yes
645,California,Male,32,4,0.0,2,0,1,97628.08,0.7876717051484677,high_risk,yes
471,Hawaii,Male,42,3,164951.56,1,1,0,190531.77,0.8997942332841211,high_risk,yes
728,Hawaii,Male,43,7,0.0,2,1,0,40023.7,0.9590084175928744,high_risk,yes
621,California,Female,40,6,0.0,1,1,0,155155.25,0.9529994070982482,high_risk,yes
587,California,Female,46,6,88820.29,1,0,0,70224.34,0.8241846592423415,high_risk,yes
720,Florida,Male,31,4,141356.47,1,0,0,137985.69,0.9110840011031992,high_risk,yes
850,Hawaii,Male,31,1,96399.31,2,1,0,106534.15,0.8300149452777731,high_risk,yes
554,Florida,Female,27,4,0.0,2,1,1,135083.73,0.9037527302328072,high_risk,yes
556,California,Female,47,2,139914.27,1,1,1,50390.98,0.8639887435018154,high_risk,yes
691,California,Male,24,6,0.0,2,1,1,92811.2,0.9942726034544598,high_risk,yes
599,Florida,Male,35,6,137102.65,1,0,0,76870.81,0.969532719364189,high_risk,yes
621,New York,Female,31,8,100375.39,1,1,1,90384.26,0.902155353578499,high_risk,yes
594,New York,Female,29,3,130830.22,1,1,0,61048.53,0.8395486440046512,high_risk,yes
683,Massachusetts,Female,36,7,0.0,2,1,0,104786.59,0.9482837779133196,high_risk,yes
618,California,Male,48,7,0.0,1,1,0,13921.82,0.2381840785784341,low_risk,no
606,Florida,Male,36,0,94153.56,1,0,1,120138.27,0.9507319899886264,high_risk,yes
579,California,Female,29,10,73194.52,2,1,1,129209.09,0.9935418658762224,high_risk,yes
526,Texas,Male,34,3,122726.56,1,1,1,46772.36,0.9003465624371559,high_risk,yes
527,Florida,Male,28,6,128396.33,2,1,0,79919.97,0.8552325765562283,high_risk,yes
648,Florida,Female,53,6,111201.41,1,1,1,121542.29,0.8129768449881241,high_risk,yes
617,Florida,Male,38,7,0.0,1,1,1,27239.28,0.9595830869316204,high_risk,yes
468,California,Male,36,3,61636.97,1,0,0,107787.42,0.8431629238858118,high_risk,yes
629,New York,Female,37,1,35549.81,2,0,0,49676.33,0.9726600309380706,high_risk,yes
728,Florida,Female,43,5,0.0,1,1,1,120088.17,0.7978851647621237,high_risk,yes
534,Hawaii,Nonbinary,62,2,0.0,2,0,0,42763.12,0.0258366384643493,low_risk,no
666,California,Female,33,2,147229.65,1,1,1,56410.17,0.9505667320551348,high_risk,yes
766,Florida,Male,41,6,99208.46,2,1,0,62402.38,0.8883948560332122,high_risk,yes
669,Hawaii,Male,25,1,157848.53,1,0,0,37543.93,0.0742912364290587,low_risk,no
727,Massachusetts,Male,43,2,97403.18,1,1,1,107415.02,0.0087292585006796,low_risk,no
771,Massachusetts,Female,33,5,0.0,2,1,0,8673.43,0.9810316406822086,high_risk,yes
749,Hawaii,Male,40,1,139290.41,1,1,0,182855.42,0.0693674352531153,low_risk,no
605,Hawaii,Female,28,6,0.0,2,0,0,159508.52,0.99320455859992,high_risk,yes
674,California,Male,46,2,174701.05,1,1,0,90189.72,0.2430330237630086,low_risk,no
670,California,Female,42,6,112333.63,1,1,1,65706.86,0.7990938164476589,high_risk,yes
783,Florida,Female,59,9,126224.87,1,1,1,4423.63,0.932596689642496,high_risk,yes
742,Hawaii,Female,28,2,191864.51,1,1,0,108457.99,0.2475665465040065,low_risk,no
549,Texas,Female,49,6,124829.16,1,0,1,93551.36,0.8818445121144842,high_risk,yes
654,Massachusetts,Female,36,2,0.0,2,1,1,146652.11,0.8695541712591547,high_risk,yes
738,California,Male,26,9,0.0,2,1,1,48644.94,0.9464023838023484,high_risk,yes
746,California,Male,37,2,0.0,2,1,0,143194.05,0.9247128137147708,high_risk,yes
706,Florida,Female,53,3,0.0,3,0,0,88479.02,0.0019048225171352,low_risk,no
554,California,Male,24,10,0.0,1,0,0,92180.62,0.980740089164382,high_risk,yes
508,California,Male,44,3,115451.05,2,0,0,67234.33,0.7900355837543727,high_risk,yes
705,California,Female,37,10,0.0,2,1,1,13935.53,0.0363646182237371,low_risk,no
769,Hawaii,Female,38,2,0.0,2,0,0,75578.67,0.8563502035896968,high_risk,yes
708,Florida,Female,64,5,0.0,3,0,1,112520.07,0.0035496425875628,low_risk,no
757,Texas,Male,31,8,149085.9,2,1,1,197077.36,0.8960681482769504,high_risk,yes
685,Massachusetts,Female,30,2,0.0,3,1,1,172576.43,0.054122783562976,low_risk,no
699,Florida,Male,31,8,125927.51,2,1,0,147661.47,0.9669938749710476,high_risk,yes
431,Hawaii,Male,37,0,120764.08,1,1,1,117023.08,0.8344272578436835,high_risk,yes
533,New York,Male,43,4,80442.06,2,0,1,12537.42,0.8512517638485898,high_risk,yes
633,California,Male,31,1,0.0,1,1,0,48606.71,0.9329633157678748,high_risk,yes
580,Hawaii,Female,56,1,131368.3,1,1,0,106918.67,0.0059469372744571,low_risk,no
746,Hawaii,Male,24,3,137492.35,2,0,1,170142.09,0.9714817135842452,high_risk,yes
710,Hawaii,Female,36,4,116085.06,1,1,0,58601.61,0.9381031631880048,high_risk,yes
654,California,Male,55,3,87485.67,1,1,1,3299.01,0.7899408888683964,high_risk,yes
754,New York,Female,48,7,141819.02,1,1,0,93550.53,0.0219025288997662,low_risk,no
783,Hawaii,Male,38,9,114135.17,1,1,0,153269.98,0.8250294859635847,high_risk,yes
660,Florida,Female,42,5,0.0,3,1,1,189016.24,0.0488023131171644,low_risk,no
654,California,Male,29,4,132954.64,1,1,1,146715.07,0.7553190850036992,high_risk,yes
690,Florida,Female,36,10,91760.11,1,1,1,135784.94,0.8534318960231859,high_risk,yes
578,California,Male,32,4,0.0,2,1,1,141822.8,0.7750791086771864,high_risk,yes
740,California,Female,37,5,0.0,2,1,1,27528.4,0.9596022760737992,high_risk,yes
653,Texas,Female,38,5,114268.22,2,1,1,89524.83,0.7988103655067074,high_risk,yes
568,New York,Female,29,2,129177.01,2,0,1,104617.99,0.8958449768009904,high_risk,yes
451,Massachusetts,Female,23,9,0.0,2,0,1,48021.71,0.7759663255773,high_risk,yes
662,Massachusetts,Female,54,1,187997.15,1,0,0,111442.71,0.2301482755901807,low_risk,no
693,New York,Female,41,9,181461.48,3,1,1,187929.43,0.151441234665165,low_risk,no
503,Massachusetts,Male,37,6,0.0,2,0,0,136506.86,0.8960600817356938,high_risk,yes
611,Florida,Female,28,3,96381.68,2,1,0,181419.29,0.8624359978455209,high_risk,yes
696,New York,Male,32,4,84421.62,1,0,1,52314.71,0.8561770491386093,high_risk,yes
717,Hawaii,Male,36,2,148061.89,1,1,0,179128.69,0.0902480462416236,low_risk,no
506,California,Female,32,3,0.0,1,1,1,80823.02,0.8898233688267825,high_risk,yes
714,California,Male,40,9,46520.69,1,1,1,96687.25,0.829823819855463,high_risk,yes
671,California,Female,31,7,41299.03,1,0,1,102681.32,0.8883161707578093,high_risk,yes
808,Florida,Male,47,8,139196.0,1,0,1,74028.36,0.8028469852883906,high_risk,yes
553,Texas,Female,25,7,128524.19,2,1,0,20682.46,0.8609454562657822,high_risk,yes
570,California,Female,33,8,0.0,1,1,1,124641.42,0.7654940072514789,high_risk,yes
702,Hawaii,Male,26,5,56738.47,2,1,1,100442.22,0.0127921919878851,low_risk,no
606,Hawaii,Female,71,8,0.0,2,1,1,169741.96,0.7840936692036659,high_risk,yes
539,California,Male,39,6,0.0,2,1,1,86767.48,0.8380023991467708,high_risk,yes
748,Hawaii,Male,66,8,0.0,1,1,1,163331.65,0.8352395655802198,high_risk,yes
785,California,Male,36,2,0.0,1,0,1,61811.1,0.8140905279104645,high_risk,yes
600,Massachusetts,Male,37,8,177657.35,1,1,1,77142.32,0.8761858973941855,high_risk,yes
567,Hawaii,Male,42,2,0.0,2,1,1,167984.61,0.9889202469563568,high_risk,yes
680,Hawaii,Male,33,2,108393.35,1,0,1,39057.67,0.8967840770644384,high_risk,yes
734,Hawaii,Male,45,2,0.0,2,1,0,99593.28,0.8025284631927191,high_risk,yes
635,Hawaii,Female,58,1,0.0,1,1,1,58907.08,0.2461572652395307,low_risk,no
592,California,Male,28,5,137222.77,1,0,0,39608.58,0.7666256442422015,high_risk,yes
759,Florida,Female,35,7,147936.42,1,1,1,106785.7,0.9455246444883104,high_risk,yes
580,California,Male,50,0,125647.36,1,1,0,57541.08,0.2000933091197254,low_risk,no
680,Hawaii,Male,31,9,0.0,2,1,0,36145.53,0.9627894588181634,high_risk,yes
670,Hawaii,Male,25,7,0.0,2,1,1,144723.38,0.8314483278711925,high_risk,yes
632,Hawaii,Male,40,3,193354.86,2,1,0,149188.41,0.9583647012748582,high_risk,yes
596,Hawaii,Male,33,8,0.0,1,1,0,121189.3,0.2392683020934981,low_risk,no
599,Florida,Male,36,4,0.0,2,0,0,13210.56,0.9391230355891468,high_risk,yes
653,California,Female,38,8,102133.38,1,1,1,166520.96,0.7736388159830556,high_risk,yes
476,Texas,Male,30,3,134366.42,1,1,0,68343.53,0.9863398396043408,high_risk,yes
714,Massachusetts,Male,44,7,0.0,1,0,1,6923.11,0.877106605933065,high_risk,yes
660,California,Male,35,7,0.0,2,1,0,13218.6,0.8806377322903312,high_risk,yes
745,California,Female,40,6,131184.67,1,1,1,49815.62,0.8633039690459605,high_risk,yes
552,Massachusetts,Female,34,4,0.0,2,1,0,140286.69,0.8739780822375594,high_risk,yes
579,Massachusetts,Male,22,3,118680.57,1,1,1,49829.8,0.8163555592797266,high_risk,yes
538,Texas,Male,39,7,108055.1,2,1,0,27231.26,0.9385482770534468,high_risk,yes
556,Hawaii,Male,35,10,0.0,2,1,1,192751.18,0.8261920184083547,high_risk,yes
601,California,Male,35,2,0.0,2,1,1,118983.18,0.8840316110834577,high_risk,yes
662,Hawaii,Male,64,0,98848.19,1,0,1,42730.12,0.9383013362729532,high_risk,yes
688,Hawaii,Male,26,0,0.0,2,1,0,105784.85,0.9195020904273024,high_risk,yes
534,Florida,Male,51,3,0.0,2,0,1,20856.31,0.818549683239744,high_risk,yes
708,New York,Nonbinary,42,9,176702.36,2,1,1,104804.74,0.7884630526348857,high_risk,yes
709,California,Female,30,5,0.0,2,0,1,161388.22,0.8306256163714515,high_risk,yes
652,Hawaii,Female,34,6,97435.85,2,1,1,104331.76,0.8800622034377025,high_risk,yes
694,Texas,Female,37,8,98218.04,2,1,0,182354.46,0.0289869489361661,low_risk,no
622,California,Female,30,2,158584.82,3,1,0,142342.55,0.0929204490507735,low_risk,no
496,Hawaii,Male,31,5,0.0,2,1,0,93713.13,0.9581264735378894,high_risk,yes
707,Hawaii,Male,29,4,0.0,2,1,0,139953.94,0.8299742138773721,high_risk,yes
598,Florida,Female,35,8,0.0,3,0,1,88658.73,0.8576461615112712,high_risk,yes
648,Texas,Female,39,3,126935.98,2,0,1,57995.74,0.772678509912355,high_risk,yes
543,Florida,Male,37,3,0.0,2,1,1,78915.68,0.8663469327588591,high_risk,yes
614,Massachusetts,Female,41,7,146997.64,2,0,0,137791.18,0.90545561811847,high_risk,yes
652,Massachusetts,Female,38,6,123081.84,2,1,1,188657.97,0.9653797737247638,high_risk,yes
405,California,Male,39,10,0.0,1,1,0,160810.85,0.2165888475670585,low_risk,no
708,Texas,Female,54,8,145151.4,1,0,1,125311.17,0.173637797685797,low_risk,no
793,Florida,Male,52,2,0.0,1,1,0,159123.82,0.1620593608805491,low_risk,no
748,Hawaii,Male,44,4,112610.77,1,0,1,2048.55,0.8731328357464441,high_risk,yes
635,Florida,Female,37,3,0.0,2,1,0,91086.73,0.8075669081056023,high_risk,yes
699,Hawaii,Male,39,9,0.0,1,1,0,80963.92,0.7940064389051527,high_risk,yes
700,Hawaii,Female,32,8,110923.15,2,1,1,161845.81,0.1279419378792166,low_risk,no
805,California,Female,31,4,0.0,2,1,0,4798.12,0.9851900495810892,high_risk,yes
731,Florida,Male,41,3,0.0,2,1,0,101371.72,0.93354914166929,high_risk,yes
622,Texas,Female,34,7,98675.74,1,1,0,138906.85,0.0638112430971031,low_risk,no
471,Massachusetts,Male,26,8,0.0,2,1,1,179655.87,0.7588244766077453,high_risk,yes
678,New York,Female,54,1,123699.28,2,0,1,105221.76,0.8263520131761131,high_risk,yes
801,Massachusetts,Female,46,6,0.0,2,1,1,170008.74,0.7634853833915813,high_risk,yes
793,New York,Female,32,1,96408.98,1,1,1,138191.81,0.927176373152684,high_risk,yes
746,California,Female,29,4,105599.67,1,1,1,43106.17,0.9570586910713376,high_risk,yes
712,Hawaii,Female,33,6,0.0,2,1,1,190686.16,0.841173217625023,high_risk,yes
576,Massachusetts,Male,45,5,133618.01,1,0,0,135244.87,0.8026908677672584,high_risk,yes
789,New York,Female,43,9,116644.29,2,1,1,60176.1,0.9534068395352264,high_risk,yes
709,Texas,Male,22,0,112949.71,1,0,0,155231.55,0.8020869454455207,high_risk,yes
724,California,Male,40,6,0.0,2,0,0,106149.48,0.9066617625090216,high_risk,yes
734,Massachusetts,Male,39,6,0.0,1,1,1,95135.27,0.9632859850217294,high_risk,yes
826,Florida,Male,41,5,146466.46,2,0,0,180934.67,0.8309588074822946,high_risk,yes
610,California,Female,57,7,72092.95,4,0,1,113228.82,0.1585551681498843,low_risk,no
559,Hawaii,Male,32,9,145303.52,1,1,0,103560.98,0.7884406576428235,high_risk,yes
770,California,Female,37,9,0.0,2,0,0,22710.72,0.962498297371103,high_risk,yes
539,Hawaii,Male,39,6,0.0,2,1,1,86767.48,0.8423125900135844,high_risk,yes
765,Massachusetts,Nonbinary,33,5,84557.82,1,1,1,69039.43,0.9576275812144616,high_risk,yes
789,Florida,Female,40,4,0.0,2,1,0,137402.27,0.9548081065322176,high_risk,yes
803,California,Female,32,9,192122.84,1,1,1,54277.45,0.0138230340430332,low_risk,no
688,New York,Male,29,9,144553.5,2,1,0,143454.95,0.7528530961930824,high_risk,yes
488,New York,Male,32,3,114540.38,1,1,0,92568.07,0.8503483018075043,high_risk,yes
634,Texas,Male,74,5,108891.7,1,1,0,10078.02,0.8589889921485037,high_risk,yes
657,Hawaii,Female,37,6,95845.6,1,1,0,122218.23,0.7876797456703102,high_risk,yes
813,Texas,Male,59,2,135078.41,1,1,0,187636.06,0.2475647370258861,low_risk,no
606,New York,Male,40,9,95293.86,2,0,1,96985.58,0.9279212165336614,high_risk,yes
786,Massachusetts,Female,39,7,0.0,2,0,0,100929.59,0.9344479825407426,high_risk,yes
729,Florida,Male,37,10,0.0,2,1,0,100862.54,0.8585854758710679,high_risk,yes
731,Hawaii,Male,29,5,179539.2,1,0,0,112010.02,0.8663782119625928,high_risk,yes
645,Florida,Male,49,8,0.0,2,1,0,162012.6,0.8553066664049629,high_risk,yes
600,Hawaii,Male,37,1,142663.46,1,0,1,88669.89,0.9011695988095968,high_risk,yes
700,New York,Female,40,4,148571.07,1,1,0,189826.96,0.0969500491486532,low_risk,no
742,Hawaii,Male,39,8,140004.96,1,1,1,92985.78,0.9553106356322724,high_risk,yes
646,California,Male,35,6,84026.86,1,0,1,164255.69,0.8201462755973502,high_risk,yes
674,Hawaii,Female,21,9,120150.39,2,1,1,33964.03,0.9522300388268574,high_risk,yes
826,Hawaii,Male,26,5,142662.68,1,0,0,60285.3,0.8604540929748363,high_risk,yes
645,Florida,Male,36,4,59893.85,2,1,0,43999.64,0.8396417937024447,high_risk,yes
763,Massachusetts,Male,37,8,0.0,2,1,1,933.38,0.8721612668065398,high_risk,yes
591,California,Female,39,4,150500.64,1,1,0,14928.8,0.9673887337340876,high_risk,yes
548,New York,Male,32,2,98986.28,1,1,1,55867.38,0.8365646587786341,high_risk,yes
594,Massachusetts,Female,49,2,126615.94,2,0,1,123214.74,0.7654855608688789,high_risk,yes
491,New York,Female,57,4,112044.72,1,1,1,41229.73,0.0205369220465976,low_risk,no
628,Hawaii,Male,31,0,88421.81,1,0,0,72350.47,0.8672628699037912,high_risk,yes
835,Hawaii,Male,23,9,0.0,1,1,0,19793.73,0.0356928501898943,low_risk,no
810,Texas,Male,69,3,27288.43,1,1,1,110509.9,0.9706995074424776,high_risk,yes
795,Florida,Female,56,5,0.0,1,1,0,35418.69,0.1812478009328314,low_risk,no
615,Hawaii,Male,64,0,81564.1,2,0,1,35896.09,0.8488428758883997,high_risk,yes
656,Massachusetts,Male,47,1,0.0,2,1,1,197961.93,0.889006237877741,high_risk,yes
554,Hawaii,Female,48,7,0.0,2,1,1,63708.07,0.8954649860796271,high_risk,yes
693,Florida,Female,57,9,0.0,2,1,1,135502.77,0.8900206110541711,high_risk,yes
512,Hawaii,Female,31,7,0.0,2,0,0,49326.07,0.934289472145268,high_risk,yes
670,Hawaii,Female,40,3,47364.45,1,1,1,148579.43,0.0111385830418637,low_risk,no
516,New York,Female,33,10,138847.9,1,1,1,127256.7,0.9630817660221276,high_risk,yes
635,Texas,Female,48,4,81556.89,2,1,0,191914.37,0.9229915127469952,high_risk,yes
741,New York,Female,19,8,108711.57,2,1,0,24857.25,0.7681309463567605,high_risk,yes
700,California,Female,27,6,137963.07,1,0,0,8996.79,0.9460515375903809,high_risk,yes
584,California,Male,33,3,0.0,2,0,1,59103.13,0.7913922996745747,high_risk,yes
